('10.0.136.7:53', '10.7.11.235:50111')
('10.240.10.61:5353', '224.0.0.251:5353')
('142.250.192.142:443', '10.7.11.235:57192')
('10.240.1.144:5353', '224.0.0.251:5353')
('10.0.136.7:53', '10.7.11.235:61317')
('172.217.174.74:443', '10.240.0.249:50626')
('10.7.11.235:53685', '142.250.183.165:443')
('10.240.3.169:5353', '224.0.0.251:5353')
('10.0.136.7:53', '10.7.11.235:62637')
('10.240.0.249:57573', '142.250.71.100:443')
('10.240.0.249:57982', '10.240.0.65:8009')
('10.0.136.7:53', '10.7.11.235:50116')
('10.0.136.7:53', '10.7.11.235:61036')
('10.240.0.249:53960', '10.0.136.7:53')
('10.240.0.249:56898', '142.250.183.67:443')
('10.240.2.151:138', '10.240.31.255:138')
('10.0.136.7:53', '10.7.11.235:54024')
('10.240.0.249:63353', '172.217.174.74:443')
('10.240.0.249:55947', '54.192.142.70:443')
('10.240.10.81:5353', '224.0.0.251:5353')
('3.111.224.186:443', '10.7.11.235:53681')
('10.240.7.186:5353', '224.0.0.251:5353')
('142.250.199.170:443', '10.7.11.235:53688')
('10.240.15.129:53709', '10.240.0.249:7680')
('10.7.11.235:62249', '10.0.136.7:53')
('10.7.11.235:53675', '20.189.173.27:443')
('10.7.11.235:54083', '10.0.136.7:53')
('10.240.6.251:57085', '239.255.255.250:1900')
('10.240.8.31:8009', '10.240.0.249:56160')
('10.240.14.3:62684', '255.255.255.255:3289')
('10.240.1.152:52893', '224.0.0.252:5355')
('142.250.194.78:443', '10.7.11.235:55181')
('3.111.224.186:443', '10.7.11.235:53682')
('10.240.15.230:47303', '239.255.255.250:1900')
('142.251.12.100:443', '10.7.11.235:63954')
('10.240.2.246:37207', '239.255.255.250:1900')
('10.7.11.235:58746', '180.149.61.76:443')
('10.7.11.235:59758', '52.123.168.129:443')
('10.0.136.7:53', '10.7.11.235:49170')
('10.0.136.7:53', '10.7.11.235:54636')
('10.0.136.7:53', '10.7.11.235:62249')
('10.7.11.235:53668', '52.1.8.106:443')
('142.250.194.206:443', '10.7.11.235:61171')
('10.7.11.235:53671', '142.250.192.97:443')
('10.240.6.17:5353', '224.0.0.251:5353')
('10.7.11.235:53681', '3.111.224.186:443')
('10.7.11.235:62709', '216.58.200.170:443')
('10.240.1.72:49994', '224.0.0.252:5355')
('10.240.14.3:62671', '255.255.255.255:22222')
('10.7.11.235:64784', '10.0.136.7:53')
('10.240.10.22:63002', '239.255.255.250:1900')
('10.0.136.7:53', '10.7.11.235:51701')
('10.7.11.235:50442', '142.250.183.78:443')
('10.240.0.89:5353', '224.0.0.251:5353')
('10.7.11.235:53666', '54.236.225.107:443')
('10.240.3.76:5353', '224.0.0.251:5353')
('142.250.192.97:443', '10.7.11.235:55900')
